"Razao Social (Registro ANS)";"Cobertura";"Porte";"Classificacao no Mes";"Classificacao no Mes Anterior";"Dez/20";"Nov/20";"Out/20";"Set/20";"Ago/20";"Jul/20";"Jun/20";"Mai/20";"Abr/20";"Mar/20";"Fev/20";"Jan/20";"Competencia";"Data de atualizacao"
"ODONTOLOGYC SYSTEM CONVÊNIO ODONTOLOGICO LTDA (416461)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   2.79";"   2.79";"   2.79";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO PASSOS - COOPERATIVA ODONTOLÓGICA (419729)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO MACAÉ - COOPERATIVA ODONTOLÓGICA (300195)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.13";"   1.08";"   1.05";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"S & M ODONTOLOGIA INTEGRADA LTDA (414727)";"Odontológica";"Pequeno";"15";"";"0.00";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE NOVA IGUAÇU COOPERATIVA ODONTOLÓGICA (411701)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"   1.62";"   1.60";"   1.60";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS (344583)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"S SHIMODA ASSISTENCIA ODONTOLOGICA S/S LTDA (416380)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PARRA ODONTOLOGIA LTDA (415782)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"INTERDENTAL ODONTOLOGIA INTEGRADA LTDA. (312525)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"INÁCIO E SPANGHERO LTDA (415332)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"NEWKLIN ODONTOCLÍNICA LTDA. ME. (415057)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"IGM OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (419745)";"Odontológica";"Pequeno";"15";"";"0.00";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"VIP ASSISTENCIA ODONTOLOGICA LTDA. (405582)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ASSOCIAÇÃO BRASILEIRA DE ASSISTÊNCIA ODONTOLOGICA DE GRUPO - DENTAL MED CENTER (413941)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA (365297)";"Odontológica";"Pequeno";"15";"4";"0.00";"   1.68";"   1.68";"   3.37";"   1.70";"   1.70";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PLANODENTE LTDA. (416517)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE FERNANDOPOLIS COOPERATIVA ODONTOLOGICA (301647)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"COOPERATIVA NOVODENTE LTDA (417840)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"SISDENTE - SISTEMA INTEGRADO DE SAÚDE DENTAL LTDA. (344095)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME (414557)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO (402010)";"Odontológica";"Pequeno";"15";"12";"0.00";"   0.79";"   0.78";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PLANO ODONTOLÓGICO DENTALVIDAS LTDA. (415936)";"Odontológica";"Pequeno";"15";"21";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   1.00";"   1.07";"   1.14";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PRUDENT PLANOS ODONTOLOGICOS S/S LTDA (416151)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE MONTE ALTO COOPERATIVA ODONTOLOGICA (336238)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ORAL SAÚDE CLÍNICA ODONTOLÓGICA LTDA. (311693)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTO JARAGUÁ LTDA (312321)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIDENTAL- COOPERATIVA UNIÃO DOS DENTISTAS DO ESTADO DO CEARÁ (401072)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE JALES - COOPERATIVA ODONTOLÓGICA (309257)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ÁPICE ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA (400882)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PREST ODONTO LTDA (384844)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE FEIRA DE SANTANA - COOPERATIVA DE TRABALHO ODONTOLÓGICO DE FEIRA DE SANTANA RESP LIMITADA (400556)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA (416908)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"   2.19";"   2.20";"   2.14";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTOREAL LTDA. (412040)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE TRÊS RIOS - COOPERATIVA DE TRABALHO ODONTOLÓGICA (359726)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE JACAREÍ - COOPERATIVA ODONTOLÓGICA DE JACAREÍ (343056)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"   0.51";"   0.52";"   0.52";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"MULTI - BUCAL ODONTOLOGIA LTDA - EPP (351351)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA (368181)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP (415952)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"MATTOS ODONTOLOGIA LTDA (329967)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA (412996)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"   0.55";"   0.55";"   0.55";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTO PRIME S/S LTDA (418994)";"Odontológica";"Pequeno";"15";"9";"0.00";"   1.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"SERVIÇO DE ASSISTÊNCIA ODONTOLÓGICA SOCIAL LTDA. (324710)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL (353477)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO ITAPERUNA/RJ COOPERATIVA DE TRABALHO ODONTOLOGICO (317772)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA (333620)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"SOCIODONTO PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA (416410)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO COOP ODONT VALE TAQUARI E RIO PARDO LTDA (353752)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO SÃO CARLOS -  COOPERATIVA ODONTOLÓGICA (335525)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO PONTA GROSSA COOPERATIVA ODONTOLÓGICA (315818)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA. (359394)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTO SÃO LUCAS LTDA. (340227)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE BOTUCATU COOPERATIVA ODONTOLOGICA (347477)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO VITÓRIA - COOPERATIVA DE TRABALHO ODONTOLOGICO  (308277)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"O.S ODONTOLÓGICA LTDA. (404365)";"Odontológica";"Pequeno";"15";"";"0.00";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE TAQUARITINGA COOPERATIVA ODONTOLÓGICA (350290)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PREVODOCTOR  ASSISTÊNCIA ODONTOLÓGICA LTDA. (412830)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS LTDA. (419281)";"Odontológica";"Pequeno";"15";"21";"0.00";"0.00";"   0.76";"   0.82";"   0.89";"0.00";"0.00";"   0.56";"   0.59";"   0.68";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTOFACE OPERADORA DE PLANOS DE SAUDE ODONTOLOGICOS LTDA (417068)";"Odontológica";"Pequeno";"15";"";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIVERSAL PLANO ODONTOLOGICO LTDA (413348)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO SUDESTE MINEIRO COOPERATIVA DE SAÚDE ODONTOLÓGICA LTDA (327441)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (414921)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTOVIDA LTDA ME (418200)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"CUNHA ODONTOLOGIA LTDA (416959)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"   1.53";"   1.57";"   1.60";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE RIO CLARO COOPERATIVA ODONTOLOGICA (349011)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"JLM ASSISTÊNCIA ODONTOLÓGICA LTDA (416215)";"Odontológica";"Pequeno";"15";"";"0.00";"";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"LITORAL CONVÊNIOS E CREDENCIAMENTO ODONTOLÓGICO LTDA ME (418358)";"Odontológica";"Pequeno";"15";"";"0.00";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"PREV  ASSISTÊNCIA ODONTOLÓGICA LTDA (335410)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"ODONTOPARÁ PLANO DE SAÚDE E CLÍNICA ODONTOLÓGICA LTDA (418714)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE LINS COOPERATIVA ODONTOLOGICA (344681)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"UNIODONTO DE CAMPOS - COOPERATIVA ODONTOLOGICA (402516)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"SISTEMA 1 SERVIÇOS DE ASSISTÊNCIA À SAÚDE SUPLEMENTAR (418790)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"   1.47";"   1.50";"   1.50";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
"TOP DOCTOR'S ODONTOLOGIA LTDA (416193)";"Odontológica";"Pequeno";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"202001";"15/01/2021 07:40:34"
